Year,Month,State,Homicides
2015,8,Alabama,32
2015,9,Alabama,36
2015,10,Alabama,42
2015,11,Alabama,45
2015,12,Alabama,38
2016,1,Alabama,61
2016,2,Alabama,36
2016,3,Alabama,50
2016,4,Alabama,50
2016,5,Alabama,38
2016,6,Alabama,53
2016,7,Alabama,29
2016,8,Alabama,40
2016,9,Alabama,48
2016,10,Alabama,50
2016,11,Alabama,41
2016,12,Alabama,47
2017,1,Alabama,46
2017,2,Alabama,57
2017,3,Alabama,41
2017,4,Alabama,34
2017,5,Alabama,46
2017,6,Alabama,46
2017,7,Alabama,67
2017,8,Alabama,50
2017,9,Alabama,58
2017,10,Alabama,44
2017,11,Alabama,58
2017,12,Alabama,52
2018,1,Alabama,55
2018,2,Alabama,47
2018,3,Alabama,46
2018,4,Alabama,39
2018,5,Alabama,36
2018,6,Alabama,59
2018,7,Alabama,68
2018,8,Alabama,41
2018,9,Alabama,52
2018,10,Alabama,34
2018,11,Alabama,43
2018,12,Alabama,48
2019,1,Alabama,52
2019,2,Alabama,52
2019,3,Alabama,45
2019,4,Alabama,42
2019,5,Alabama,51
2019,6,Alabama,51
2019,7,Alabama,40
2019,8,Alabama,51
2019,9,Alabama,56
2019,10,Alabama,47
2019,11,Alabama,41
2019,12,Alabama,59
2020,1,Alabama,48
2020,2,Alabama,38
2020,3,Alabama,52
2020,4,Alabama,62
2020,5,Alabama,72
2020,6,Alabama,53
2020,7,Alabama,53
2020,8,Alabama,60
2020,9,Alabama,48
2020,10,Alabama,60
2020,11,Alabama,53
2020,12,Alabama,52
1999,1,Alaska,6
1999,2,Alaska,3
1999,3,Alaska,6
1999,4,Alaska,5
1999,5,Alaska,3
1999,6,Alaska,2
1999,7,Alaska,8
1999,8,Alaska,2
1999,9,Alaska,9
1999,10,Alaska,3
1999,11,Alaska,3
1999,12,Alaska,1
2000,1,Alaska,7
2000,2,Alaska,3
2000,3,Alaska,6
2000,4,Alaska,2
2000,5,Alaska,3
2000,6,Alaska,1
2000,7,Alaska,3
2000,8,Alaska,1
2000,9,Alaska,4
2000,10,Alaska,2
2000,11,Alaska,2
2000,12,Alaska,3
2001,1,Alaska,5
2001,2,Alaska,2
2001,3,Alaska,2
2001,4,Alaska,4
2001,5,Alaska,3
2001,6,Alaska,2
2001,7,Alaska,3
2001,8,Alaska,5
2001,9,Alaska,4
2001,10,Alaska,1
2001,11,Alaska,3
2001,12,Alaska,4
2002,1,Alaska,2
2002,2,Alaska,3
2002,3,Alaska,3
2002,4,Alaska,4
2002,5,Alaska,4
2002,6,Alaska,0
2002,7,Alaska,3
2002,8,Alaska,4
2002,9,Alaska,4
2002,10,Alaska,4
2002,11,Alaska,3
2002,12,Alaska,6
2003,1,Alaska,6
2003,2,Alaska,6
2003,3,Alaska,3
2003,4,Alaska,3
2003,5,Alaska,1
2003,6,Alaska,1
2003,7,Alaska,3
2003,8,Alaska,2
2003,9,Alaska,5
2003,10,Alaska,8
2003,11,Alaska,6
2003,12,Alaska,3
2004,1,Alaska,1
2004,2,Alaska,4
2004,3,Alaska,6
2004,4,Alaska,0
2004,5,Alaska,3
2004,6,Alaska,1
2004,7,Alaska,5
2004,8,Alaska,4
2004,9,Alaska,3
2004,10,Alaska,3
2004,11,Alaska,5
2004,12,Alaska,5
2005,1,Alaska,3
2005,2,Alaska,3
2005,3,Alaska,2
2005,4,Alaska,2
2005,5,Alaska,5
2005,6,Alaska,3
2005,7,Alaska,4
2005,8,Alaska,5
2005,9,Alaska,2
2005,10,Alaska,3
2005,11,Alaska,1
2005,12,Alaska,4
2006,1,Alaska,2
2006,2,Alaska,3
2006,3,Alaska,5
2006,4,Alaska,1
2006,5,Alaska,1
2006,6,Alaska,5
2006,7,Alaska,3
2006,8,Alaska,4
2006,9,Alaska,5
2006,10,Alaska,8
2006,11,Alaska,2
2006,12,Alaska,3
2007,1,Alaska,8
2007,2,Alaska,4
2007,3,Alaska,5
2007,4,Alaska,1
2007,5,Alaska,1
2007,6,Alaska,4
2007,7,Alaska,3
2007,8,Alaska,7
2007,9,Alaska,4
2007,10,Alaska,3
2007,11,Alaska,4
2007,12,Alaska,5
2008,1,Alaska,3
2008,2,Alaska,3
2008,3,Alaska,4
2008,4,Alaska,4
2008,5,Alaska,1
2008,6,Alaska,1
2008,7,Alaska,0
2008,8,Alaska,3
2008,9,Alaska,4
2008,10,Alaska,1
2008,11,Alaska,3
2008,12,Alaska,2
2009,1,Alaska,2
2009,2,Alaska,4
2009,3,Alaska,2
2009,4,Alaska,1
2009,5,Alaska,2
2009,6,Alaska,2
2009,7,Alaska,2
2009,8,Alaska,3
2009,9,Alaska,3
2009,10,Alaska,0
2009,11,Alaska,3
2009,12,Alaska,2
2010,1,Alaska,1
2010,2,Alaska,3
2010,3,Alaska,5
2010,4,Alaska,3
2010,5,Alaska,5
2010,6,Alaska,3
2010,7,Alaska,3
2010,8,Alaska,6
2010,9,Alaska,2
2010,10,Alaska,5
2010,11,Alaska,5
2010,12,Alaska,2
2011,1,Alaska,2
2011,2,Alaska,1
2011,3,Alaska,4
2011,4,Alaska,3
2011,5,Alaska,1
2011,6,Alaska,2
2011,7,Alaska,3
2011,8,Alaska,3
2011,9,Alaska,1
2011,10,Alaska,7
2011,11,Alaska,7
2011,12,Alaska,2
2012,1,Alaska,2
2012,2,Alaska,6
2012,3,Alaska,4
2012,4,Alaska,6
2012,5,Alaska,4
2012,6,Alaska,5
2012,7,Alaska,5
2012,8,Alaska,1
2012,9,Alaska,3
2012,10,Alaska,2
2012,11,Alaska,0
2012,12,Alaska,0
2013,1,Alaska,4
2013,2,Alaska,5
2013,3,Alaska,4
2013,4,Alaska,2
2013,5,Alaska,6
2013,6,Alaska,4
2013,7,Alaska,3
2013,8,Alaska,1
2013,9,Alaska,3
2013,10,Alaska,6
2013,11,Alaska,1
2013,12,Alaska,4
2014,1,Alaska,2
2014,2,Alaska,3
2014,3,Alaska,5
2014,4,Alaska,3
2014,5,Alaska,3
2014,6,Alaska,2
2014,7,Alaska,1
2014,8,Alaska,3
2014,9,Alaska,2
2014,10,Alaska,7
2014,11,Alaska,3
2014,12,Alaska,3
2015,1,Alaska,6
2015,2,Alaska,6
2015,3,Alaska,9
2015,4,Alaska,3
2015,5,Alaska,11
2015,6,Alaska,1
2015,7,Alaska,5
2015,8,Alaska,3
2015,9,Alaska,3
2015,10,Alaska,3
2015,11,Alaska,5
2015,12,Alaska,7
2016,1,Alaska,6
2016,2,Alaska,4
2016,3,Alaska,2
2016,4,Alaska,0
2016,5,Alaska,5
2016,6,Alaska,3
2016,7,Alaska,11
2016,8,Alaska,4
2016,9,Alaska,4
2016,10,Alaska,3
2016,11,Alaska,5
2016,12,Alaska,7
2017,1,Alaska,7
2017,2,Alaska,7
2017,3,Alaska,4
2017,4,Alaska,7
2017,5,Alaska,6
2017,6,Alaska,3
2017,7,Alaska,9
2017,8,Alaska,7
2017,9,Alaska,7
2017,10,Alaska,9
2017,11,Alaska,6
2017,12,Alaska,6
2018,1,Alaska,8
2018,2,Alaska,1
2018,3,Alaska,5
2018,4,Alaska,4
2018,5,Alaska,3
2018,6,Alaska,3
2018,7,Alaska,5
2018,8,Alaska,4
2018,9,Alaska,4
2018,10,Alaska,5
2018,11,Alaska,6
2018,12,Alaska,7
2019,1,Alaska,5
2019,2,Alaska,5
2019,3,Alaska,7
2019,4,Alaska,10
2019,5,Alaska,6
2019,6,Alaska,5
2019,7,Alaska,4
2019,8,Alaska,5
2019,9,Alaska,4
2019,10,Alaska,4
2019,11,Alaska,15
2019,12,Alaska,8
2020,1,Alaska,4
2020,2,Alaska,3
2020,3,Alaska,6
2020,4,Alaska,2
2020,5,Alaska,4
2020,6,Alaska,6
2020,7,Alaska,5
2020,8,Alaska,1
2020,9,Alaska,3
2020,10,Alaska,6
2020,11,Alaska,12
2020,12,Alaska,3
1999,1,Arizona,40
1999,2,Arizona,38
1999,3,Arizona,32
1999,4,Arizona,36
1999,5,Arizona,40
1999,6,Arizona,41
1999,7,Arizona,34
1999,8,Arizona,45
1999,9,Arizona,35
1999,10,Arizona,43
1999,11,Arizona,37
1999,12,Arizona,39
2000,1,Arizona,24
2000,2,Arizona,29
2000,3,Arizona,39
2000,4,Arizona,34
2000,5,Arizona,38
2000,6,Arizona,41
2000,7,Arizona,45
2000,8,Arizona,33
2000,9,Arizona,20
2000,10,Arizona,42
2000,11,Arizona,34
2000,12,Arizona,26
2001,1,Arizona,36
2001,2,Arizona,34
2001,3,Arizona,40
2001,4,Arizona,31
2001,5,Arizona,37
2001,6,Arizona,35
2001,7,Arizona,50
2001,8,Arizona,40
2001,9,Arizona,44
2001,10,Arizona,46
2001,11,Arizona,40
2001,12,Arizona,53
2002,1,Arizona,39
2002,2,Arizona,33
2002,3,Arizona,49
2002,4,Arizona,45
2002,5,Arizona,47
2002,6,Arizona,39
2002,7,Arizona,52
2002,8,Arizona,26
2002,9,Arizona,50
2002,10,Arizona,41
2002,11,Arizona,35
2002,12,Arizona,43
2003,1,Arizona,41
2003,2,Arizona,30
2003,3,Arizona,48
2003,4,Arizona,38
2003,5,Arizona,57
2003,6,Arizona,34
2003,7,Arizona,30
2003,8,Arizona,51
2003,9,Arizona,52
2003,10,Arizona,44
2003,11,Arizona,34
2003,12,Arizona,36
2004,1,Arizona,43
2004,2,Arizona,44
2004,3,Arizona,48
2004,4,Arizona,39
2004,5,Arizona,50
2004,6,Arizona,28
2004,7,Arizona,44
2004,8,Arizona,50
2004,9,Arizona,36
2004,10,Arizona,38
2004,11,Arizona,40
2004,12,Arizona,44
2005,1,Arizona,34
2005,2,Arizona,32
2005,3,Arizona,35
2005,4,Arizona,43
2005,5,Arizona,48
2005,6,Arizona,46
2005,7,Arizona,45
2005,8,Arizona,48
2005,9,Arizona,51
2005,10,Arizona,53
2005,11,Arizona,43
2005,12,Arizona,49
2006,1,Arizona,39
2006,2,Arizona,44
2006,3,Arizona,50
2006,4,Arizona,46
2006,5,Arizona,46
2006,6,Arizona,52
2006,7,Arizona,56
2006,8,Arizona,44
2006,9,Arizona,40
2006,10,Arizona,44
2006,11,Arizona,31
2006,12,Arizona,50
2007,1,Arizona,52
2007,2,Arizona,42
2007,3,Arizona,43
2007,4,Arizona,41
2007,5,Arizona,47
2007,6,Arizona,36
2007,7,Arizona,57
2007,8,Arizona,38
2007,9,Arizona,35
2007,10,Arizona,44
2007,11,Arizona,50
2007,12,Arizona,36
2008,1,Arizona,45
2008,2,Arizona,46
2008,3,Arizona,34
2008,4,Arizona,42
2008,5,Arizona,32
2008,6,Arizona,46
2008,7,Arizona,42
2008,8,Arizona,35
2008,9,Arizona,36
2008,10,Arizona,36
2008,11,Arizona,43
2008,12,Arizona,34
2009,1,Arizona,27
2009,2,Arizona,31
2009,3,Arizona,29
2009,4,Arizona,40
2009,5,Arizona,33
2009,6,Arizona,38
2009,7,Arizona,39
2009,8,Arizona,34
2009,9,Arizona,26
2009,10,Arizona,24
2009,11,Arizona,30
2009,12,Arizona,29
2010,1,Arizona,31
2010,2,Arizona,24
2010,3,Arizona,32
2010,4,Arizona,31
2010,5,Arizona,27
2010,6,Arizona,33
2010,7,Arizona,36
2010,8,Arizona,52
2010,9,Arizona,33
2010,10,Arizona,45
2010,11,Arizona,30
2010,12,Arizona,39
2011,1,Arizona,35
2011,2,Arizona,25
2011,3,Arizona,34
2011,4,Arizona,35
2011,5,Arizona,37
2011,6,Arizona,37
2011,7,Arizona,32
2011,8,Arizona,37
2011,9,Arizona,36
2011,10,Arizona,34
2011,11,Arizona,28
2011,12,Arizona,27
2012,1,Arizona,36
2012,2,Arizona,28
2012,3,Arizona,31
2012,4,Arizona,31
2012,5,Arizona,38
2012,6,Arizona,32
2012,7,Arizona,36
2012,8,Arizona,28
2012,9,Arizona,28
2012,10,Arizona,37
2012,11,Arizona,28
2012,12,Arizona,31
2013,1,Arizona,29
2013,2,Arizona,27
2013,3,Arizona,42
2013,4,Arizona,43
2013,5,Arizona,29
2013,6,Arizona,32
2013,7,Arizona,25
2013,8,Arizona,24
2013,9,Arizona,30
2013,10,Arizona,46
2013,11,Arizona,27
2013,12,Arizona,28
2014,1,Arizona,19
2014,2,Arizona,25
2014,3,Arizona,26
2014,4,Arizona,33
2014,5,Arizona,24
2014,6,Arizona,29
2014,7,Arizona,33
2014,8,Arizona,24
2014,9,Arizona,27
2014,10,Arizona,32
2014,11,Arizona,16
2014,12,Arizona,30
2015,1,Arizona,26
2015,2,Arizona,27
2015,3,Arizona,25
2015,4,Arizona,38
2015,5,Arizona,34
2015,6,Arizona,20
2015,7,Arizona,31
2015,8,Arizona,40
2015,9,Arizona,29
2015,10,Arizona,26
2015,11,Arizona,31
2015,12,Arizona,36
2016,1,Arizona,32
2016,2,Arizona,35
2016,3,Arizona,28
2016,4,Arizona,33
2016,5,Arizona,30
2016,6,Arizona,41
2016,7,Arizona,40
2016,8,Arizona,49
2016,9,Arizona,27
2016,10,Arizona,31
2016,11,Arizona,34
2016,12,Arizona,31
2017,1,Arizona,40
2017,2,Arizona,29
2017,3,Arizona,26
2017,4,Arizona,30
2017,5,Arizona,40
2017,6,Arizona,46
2017,7,Arizona,39
2017,8,Arizona,31
2017,9,Arizona,27
2017,10,Arizona,51
2017,11,Arizona,38
2017,12,Arizona,40
2018,1,Arizona,43
2018,2,Arizona,37
2018,3,Arizona,39
2018,4,Arizona,35
2018,5,Arizona,29
2018,6,Arizona,45
2018,7,Arizona,39
2018,8,Arizona,29
2018,9,Arizona,26
2018,10,Arizona,28
2018,11,Arizona,34
2018,12,Arizona,29
2019,1,Arizona,27
2019,2,Arizona,37
2019,3,Arizona,24
2019,4,Arizona,44
2019,5,Arizona,35
2019,6,Arizona,37
2019,7,Arizona,34
2019,8,Arizona,33
2019,9,Arizona,25
2019,10,Arizona,31
2019,11,Arizona,36
2019,12,Arizona,45
2020,1,Arizona,43
2020,2,Arizona,36
2020,3,Arizona,36
2020,4,Arizona,37
2020,5,Arizona,51
2020,6,Arizona,40
2020,7,Arizona,37
2020,8,Arizona,52
2020,9,Arizona,52
2020,10,Arizona,59
2020,11,Arizona,35
2020,12,Arizona,44
1999,1,Arkansas,16
1999,2,Arkansas,13
1999,3,Arkansas,11
1999,4,Arkansas,16
1999,5,Arkansas,17
1999,6,Arkansas,11
1999,7,Arkansas,17
1999,8,Arkansas,15
1999,9,Arkansas,10
1999,10,Arkansas,16
1999,11,Arkansas,12
1999,12,Arkansas,24
2000,1,Arkansas,24
2000,2,Arkansas,12
2000,3,Arkansas,21
2000,4,Arkansas,12
2000,5,Arkansas,19
2000,6,Arkansas,13
2000,7,Arkansas,25
2000,8,Arkansas,11
2000,9,Arkansas,13
2000,10,Arkansas,17
2000,11,Arkansas,19
2000,12,Arkansas,15
2001,1,Arkansas,15
2001,2,Arkansas,7
2001,3,Arkansas,17
2001,4,Arkansas,20
2001,5,Arkansas,15
2001,6,Arkansas,15
2001,7,Arkansas,15
2001,8,Arkansas,11
2001,9,Arkansas,14
2001,10,Arkansas,18
2001,11,Arkansas,18
2001,12,Arkansas,15
2002,1,Arkansas,14
2002,2,Arkansas,18
2002,3,Arkansas,13
2002,4,Arkansas,14
2002,5,Arkansas,16
2002,6,Arkansas,11
2002,7,Arkansas,15
2002,8,Arkansas,19
2002,9,Arkansas,12
2002,10,Arkansas,23
2002,11,Arkansas,15
2002,12,Arkansas,24
2003,1,Arkansas,19
2003,2,Arkansas,13
2003,3,Arkansas,13
2003,4,Arkansas,11
2003,5,Arkansas,19
2003,6,Arkansas,17
2003,7,Arkansas,23
2003,8,Arkansas,10
2003,9,Arkansas,16
2003,10,Arkansas,21
2003,11,Arkansas,19
2003,12,Arkansas,13
2004,1,Arkansas,14
2004,2,Arkansas,16
2004,3,Arkansas,13
2004,4,Arkansas,16
2004,5,Arkansas,18
2004,6,Arkansas,21
2004,7,Arkansas,24
2004,8,Arkansas,13
2004,9,Arkansas,11
2004,10,Arkansas,15
2004,11,Arkansas,25
2004,12,Arkansas,22
2005,1,Arkansas,15
2005,2,Arkansas,13
2005,3,Arkansas,16
2005,4,Arkansas,18
2005,5,Arkansas,12
2005,6,Arkansas,31
2005,7,Arkansas,23
2005,8,Arkansas,13
2005,9,Arkansas,16
2005,10,Arkansas,22
2005,11,Arkansas,18
2005,12,Arkansas,19
2006,1,Arkansas,27
2006,2,Arkansas,14
2006,3,Arkansas,22
2006,4,Arkansas,22
2006,5,Arkansas,15
2006,6,Arkansas,23
2006,7,Arkansas,16
2006,8,Arkansas,22
2006,9,Arkansas,10
2006,10,Arkansas,18
2006,11,Arkansas,23
2006,12,Arkansas,20
2007,1,Arkansas,8
2007,2,Arkansas,20
2007,3,Arkansas,24
2007,4,Arkansas,15
2007,5,Arkansas,21
2007,6,Arkansas,26
2007,7,Arkansas,20
2007,8,Arkansas,31
2007,9,Arkansas,20
2007,10,Arkansas,16
2007,11,Arkansas,23
2007,12,Arkansas,17
2008,1,Arkansas,16
2008,2,Arkansas,11
2008,3,Arkansas,25
2008,4,Arkansas,22
2008,5,Arkansas,13
2008,6,Arkansas,13
2008,7,Arkansas,21
2008,8,Arkansas,30
2008,9,Arkansas,22
2008,10,Arkansas,20
2008,11,Arkansas,9
2008,12,Arkansas,11
2009,1,Arkansas,17
2009,2,Arkansas,11
2009,3,Arkansas,15
2009,4,Arkansas,16
2009,5,Arkansas,17
2009,6,Arkansas,16
2009,7,Arkansas,21
2009,8,Arkansas,15
2009,9,Arkansas,22
2009,10,Arkansas,19
2009,11,Arkansas,30
2009,12,Arkansas,19
2010,1,Arkansas,15
2010,2,Arkansas,18
2010,3,Arkansas,8
2010,4,Arkansas,12
2010,5,Arkansas,12
2010,6,Arkansas,17
2010,7,Arkansas,20
2010,8,Arkansas,18
2010,9,Arkansas,15
2010,10,Arkansas,11
2010,11,Arkansas,20
2010,12,Arkansas,18
2011,1,Arkansas,22
2011,2,Arkansas,12
2011,3,Arkansas,11
2011,4,Arkansas,18
2011,5,Arkansas,14
2011,6,Arkansas,14
2011,7,Arkansas,19
2011,8,Arkansas,22
2011,9,Arkansas,20
2011,10,Arkansas,17
2011,11,Arkansas,16
2011,12,Arkansas,19
2012,1,Arkansas,28
2012,2,Arkansas,13
2012,3,Arkansas,13
2012,4,Arkansas,18
2012,5,Arkansas,28
2012,6,Arkansas,17
2012,7,Arkansas,22
2012,8,Arkansas,19
2012,9,Arkansas,15
2012,10,Arkansas,18
2012,11,Arkansas,18
2012,12,Arkansas,26
2013,1,Arkansas,21
2013,2,Arkansas,13
2013,3,Arkansas,15
2013,4,Arkansas,21
2013,5,Arkansas,21
2013,6,Arkansas,17
2013,7,Arkansas,20
2013,8,Arkansas,14
2013,9,Arkansas,11
2013,10,Arkansas,20
2013,11,Arkansas,17
2013,12,Arkansas,20
2014,1,Arkansas,19
2014,2,Arkansas,10
2014,3,Arkansas,15
2014,4,Arkansas,21
2014,5,Arkansas,22
2014,6,Arkansas,20
2014,7,Arkansas,21
2014,8,Arkansas,17
2014,9,Arkansas,20
2014,10,Arkansas,17
2014,11,Arkansas,16
2014,12,Arkansas,16
2015,1,Arkansas,17
2015,2,Arkansas,20
2015,3,Arkansas,8
2015,4,Arkansas,18
2015,5,Arkansas,20
2015,6,Arkansas,20
2015,7,Arkansas,26
2015,8,Arkansas,19
2015,9,Arkansas,21
2015,10,Arkansas,15
2015,11,Arkansas,17
2015,12,Arkansas,15
2016,1,Arkansas,26
2016,2,Arkansas,12
2016,3,Arkansas,14
2016,4,Arkansas,13
2016,5,Arkansas,22
2016,6,Arkansas,22
2016,7,Arkansas,20
2016,8,Arkansas,20
2016,9,Arkansas,21
2016,10,Arkansas,24
2016,11,Arkansas,28
2016,12,Arkansas,24
2017,1,Arkansas,24
2017,2,Arkansas,17
2017,3,Arkansas,25
2017,4,Arkansas,19
2017,5,Arkansas,32
2017,6,Arkansas,13
2017,7,Arkansas,32
2017,8,Arkansas,29
2017,9,Arkansas,17
2017,10,Arkansas,27
2017,11,Arkansas,21
2017,12,Arkansas,21
2018,1,Arkansas,27
2018,2,Arkansas,17
2018,3,Arkansas,19
2018,4,Arkansas,20
2018,5,Arkansas,24
2018,6,Arkansas,18
2018,7,Arkansas,18
2018,8,Arkansas,24
2018,9,Arkansas,28
2018,10,Arkansas,19
2018,11,Arkansas,30
2018,12,Arkansas,19
2019,1,Arkansas,29
2019,2,Arkansas,15
2019,3,Arkansas,27
2019,4,Arkansas,21
2019,5,Arkansas,14
2019,6,Arkansas,25
2019,7,Arkansas,29
2019,8,Arkansas,28
2019,9,Arkansas,23
2019,10,Arkansas,25
2019,11,Arkansas,18
2019,12,Arkansas,15
2020,1,Arkansas,33
2020,2,Arkansas,20
2020,3,Arkansas,26
2020,4,Arkansas,30
2020,5,Arkansas,31
2020,6,Arkansas,49
2020,7,Arkansas,28
2020,8,Arkansas,38
2020,9,Arkansas,20
2020,10,Arkansas,27
2020,11,Arkansas,24
2020,12,Arkansas,43
1999,1,California,189
1999,2,California,128
1999,3,California,145
1999,4,California,158
1999,5,California,167
1999,6,California,168
1999,7,California,204
1999,8,California,215
1999,9,California,167
1999,10,California,176
1999,11,California,150
1999,12,California,171
2000,1,California,165
2000,2,California,145
2000,3,California,127
2000,4,California,166
2000,5,California,179
2000,6,California,215
2000,7,California,189
2000,8,California,207
2000,9,California,166
2000,10,California,165
2000,11,California,132
2000,12,California,185
2001,1,California,164
2001,2,California,136
2001,3,California,152
2001,4,California,178
2001,5,California,183
2001,6,California,158
2001,7,California,209
2001,8,California,202
2001,9,California,214
2001,10,California,215
2001,11,California,174
2001,12,California,165
2002,1,California,206
2002,2,California,167
2002,3,California,201
2002,4,California,196
2002,5,California,207
2002,6,California,203
2002,7,California,223
2002,8,California,217
2002,9,California,249
2002,10,California,190
2002,11,California,212
2002,12,California,171
2003,1,California,188
2003,2,California,193
2003,3,California,200
2003,4,California,174
2003,5,California,226
2003,6,California,196
2003,7,California,234
2003,8,California,233
2003,9,California,221
2003,10,California,218
2003,11,California,168
2003,12,California,195
2004,1,California,210
2004,2,California,161
2004,3,California,205
2004,4,California,203
2004,5,California,231
2004,6,California,194
2004,7,California,231
2004,8,California,228
2004,9,California,210
2004,10,California,192
2004,11,California,188
2004,12,California,199
2005,1,California,225
2005,2,California,166
2005,3,California,193
2005,4,California,194
2005,5,California,206
2005,6,California,192
2005,7,California,243
2005,8,California,243
2005,9,California,182
2005,10,California,235
2005,11,California,213
2005,12,California,212
2006,1,California,220
2006,2,California,179
2006,3,California,182
2006,4,California,223
2006,5,California,215
2006,6,California,229
2006,7,California,251
2006,8,California,238
2006,9,California,202
2006,10,California,219
2006,11,California,200
2006,12,California,197
2007,1,California,218
2007,2,California,158
2007,3,California,164
2007,4,California,181
2007,5,California,188
2007,6,California,219
2007,7,California,233
2007,8,California,234
2007,9,California,183
2007,10,California,196
2007,11,California,164
2007,12,California,197
2008,1,California,181
2008,2,California,186
2008,3,California,211
2008,4,California,171
2008,5,California,193
2008,6,California,199
2008,7,California,157
