Year,Month,State,Accidents
2017,8,Alabama,1
2017,9,Alabama,1
2017,10,Alabama,1
2017,11,Alabama,6
2017,12,Alabama,0
2018,1,Alabama,3
2018,2,Alabama,4
2018,3,Alabama,3
2018,4,Alabama,1
2018,5,Alabama,2
2018,6,Alabama,3
2018,7,Alabama,1
2018,8,Alabama,2
2018,9,Alabama,0
2018,10,Alabama,2
2018,11,Alabama,2
2018,12,Alabama,1
2019,1,Alabama,3
2019,2,Alabama,4
2019,3,Alabama,1
2019,4,Alabama,4
2019,5,Alabama,1
2019,6,Alabama,1
2019,7,Alabama,2
2019,8,Alabama,1
2019,9,Alabama,3
2019,10,Alabama,5
2019,11,Alabama,4
2019,12,Alabama,0
2020,1,Alabama,1
2020,2,Alabama,1
2020,3,Alabama,2
2020,4,Alabama,3
2020,5,Alabama,1
2020,6,Alabama,0
2020,7,Alabama,0
2020,8,Alabama,3
2020,9,Alabama,2
2020,10,Alabama,3
2020,11,Alabama,1
2020,12,Alabama,3
1999,1,Alaska,0
1999,2,Alaska,0
1999,3,Alaska,0
1999,4,Alaska,0
1999,5,Alaska,0
1999,6,Alaska,1
1999,7,Alaska,0
1999,8,Alaska,0
1999,9,Alaska,2
1999,10,Alaska,0
1999,11,Alaska,0
1999,12,Alaska,0
2000,1,Alaska,1
2000,2,Alaska,0
2000,3,Alaska,0
2000,4,Alaska,0
2000,5,Alaska,0
2000,6,Alaska,0
2000,7,Alaska,0
2000,8,Alaska,0
2000,9,Alaska,1
2000,10,Alaska,0
2000,11,Alaska,0
2000,12,Alaska,0
2001,1,Alaska,0
2001,2,Alaska,0
2001,3,Alaska,0
2001,4,Alaska,0
2001,5,Alaska,0
2001,6,Alaska,0
2001,7,Alaska,0
2001,8,Alaska,0
2001,9,Alaska,0
2001,10,Alaska,0
2001,11,Alaska,1
2001,12,Alaska,0
2002,1,Alaska,0
2002,2,Alaska,0
2002,3,Alaska,0
2002,4,Alaska,0
2002,5,Alaska,1
2002,6,Alaska,0
2002,7,Alaska,0
2002,8,Alaska,0
2002,9,Alaska,0
2002,10,Alaska,0
2002,11,Alaska,0
2002,12,Alaska,0
2003,1,Alaska,0
2003,2,Alaska,0
2003,3,Alaska,0
2003,4,Alaska,0
2003,5,Alaska,1
2003,6,Alaska,0
2003,7,Alaska,0
2003,8,Alaska,1
2003,9,Alaska,0
2003,10,Alaska,1
2003,11,Alaska,0
2003,12,Alaska,0
2004,1,Alaska,0
2004,2,Alaska,0
2004,3,Alaska,0
2004,4,Alaska,0
2004,5,Alaska,0
2004,6,Alaska,0
2004,7,Alaska,0
2004,8,Alaska,0
2004,9,Alaska,0
2004,10,Alaska,0
2004,11,Alaska,0
2004,12,Alaska,0
2005,1,Alaska,0
2005,2,Alaska,0
2005,3,Alaska,0
2005,4,Alaska,0
2005,5,Alaska,0
2005,6,Alaska,0
2005,7,Alaska,0
2005,8,Alaska,0
2005,9,Alaska,2
2005,10,Alaska,0
2005,11,Alaska,0
2005,12,Alaska,0
2006,1,Alaska,0
2006,2,Alaska,0
2006,3,Alaska,0
2006,4,Alaska,0
2006,5,Alaska,1
2006,6,Alaska,1
2006,7,Alaska,0
2006,8,Alaska,0
2006,9,Alaska,1
2006,10,Alaska,0
2006,11,Alaska,1
2006,12,Alaska,0
2007,1,Alaska,0
2007,2,Alaska,0
2007,3,Alaska,0
2007,4,Alaska,0
2007,5,Alaska,0
2007,6,Alaska,0
2007,7,Alaska,0
2007,8,Alaska,0
2007,9,Alaska,0
2007,10,Alaska,0
2007,11,Alaska,0
2007,12,Alaska,0
2008,1,Alaska,0
2008,2,Alaska,0
2008,3,Alaska,0
2008,4,Alaska,0
2008,5,Alaska,1
2008,6,Alaska,0
2008,7,Alaska,0
2008,8,Alaska,0
2008,9,Alaska,0
2008,10,Alaska,2
2008,11,Alaska,1
2008,12,Alaska,1
2009,1,Alaska,0
2009,2,Alaska,0
2009,3,Alaska,0
2009,4,Alaska,0
2009,5,Alaska,0
2009,6,Alaska,0
2009,7,Alaska,0
2009,8,Alaska,0
2009,9,Alaska,0
2009,10,Alaska,0
2009,11,Alaska,0
2009,12,Alaska,0
2010,1,Alaska,0
2010,2,Alaska,0
2010,3,Alaska,0
2010,4,Alaska,0
2010,5,Alaska,1
2010,6,Alaska,0
2010,7,Alaska,0
2010,8,Alaska,0
2010,9,Alaska,0
2010,10,Alaska,1
2010,11,Alaska,0
2010,12,Alaska,0
2011,1,Alaska,0
2011,2,Alaska,0
2011,3,Alaska,0
2011,4,Alaska,0
2011,5,Alaska,1
2011,6,Alaska,0
2011,7,Alaska,0
2011,8,Alaska,0
2011,9,Alaska,0
2011,10,Alaska,0
2011,11,Alaska,0
2011,12,Alaska,0
2012,1,Alaska,0
2012,2,Alaska,1
2012,3,Alaska,0
2012,4,Alaska,0
2012,5,Alaska,0
2012,6,Alaska,0
2012,7,Alaska,1
2012,8,Alaska,1
2012,9,Alaska,2
2012,10,Alaska,0
2012,11,Alaska,0
2012,12,Alaska,1
2013,1,Alaska,1
2013,2,Alaska,0
2013,3,Alaska,0
2013,4,Alaska,1
2013,5,Alaska,0
2013,6,Alaska,0
2013,7,Alaska,0
2013,8,Alaska,0
2013,9,Alaska,0
2013,10,Alaska,0
2013,11,Alaska,0
2013,12,Alaska,0
2014,1,Alaska,0
2014,2,Alaska,2
2014,3,Alaska,0
2014,4,Alaska,0
2014,5,Alaska,0
2014,6,Alaska,0
2014,7,Alaska,0
2014,8,Alaska,0
2014,9,Alaska,1
2014,10,Alaska,0
2014,11,Alaska,0
2014,12,Alaska,0
2015,1,Alaska,0
2015,2,Alaska,0
2015,3,Alaska,0
2015,4,Alaska,0
2015,5,Alaska,1
2015,6,Alaska,1
2015,7,Alaska,0
2015,8,Alaska,0
2015,9,Alaska,0
2015,10,Alaska,1
2015,11,Alaska,1
2015,12,Alaska,1
2016,1,Alaska,2
2016,2,Alaska,0
2016,3,Alaska,0
2016,4,Alaska,0
2016,5,Alaska,0
2016,6,Alaska,0
2016,7,Alaska,0
2016,8,Alaska,0
2016,9,Alaska,1
2016,10,Alaska,1
2016,11,Alaska,1
2016,12,Alaska,0
2017,1,Alaska,0
2017,2,Alaska,0
2017,3,Alaska,0
2017,4,Alaska,0
2017,5,Alaska,0
2017,6,Alaska,0
2017,7,Alaska,0
2017,8,Alaska,1
2017,9,Alaska,2
2017,10,Alaska,0
2017,11,Alaska,0
2017,12,Alaska,1
2018,1,Alaska,0
2018,2,Alaska,0
2018,3,Alaska,1
2018,4,Alaska,0
2018,5,Alaska,0
2018,6,Alaska,0
2018,7,Alaska,1
2018,8,Alaska,0
2018,9,Alaska,0
2018,10,Alaska,0
2018,11,Alaska,0
2018,12,Alaska,0
2019,1,Alaska,0
2019,2,Alaska,0
2019,3,Alaska,1
2019,4,Alaska,0
2019,5,Alaska,0
2019,6,Alaska,0
2019,7,Alaska,0
2019,8,Alaska,1
2019,9,Alaska,0
2019,10,Alaska,0
2019,11,Alaska,0
2019,12,Alaska,0
2020,1,Alaska,0
2020,2,Alaska,0
2020,3,Alaska,0
2020,4,Alaska,1
2020,5,Alaska,0
2020,6,Alaska,0
2020,7,Alaska,0
2020,8,Alaska,2
2020,9,Alaska,0
2020,10,Alaska,0
2020,11,Alaska,0
2020,12,Alaska,0
1999,1,Arizona,0
1999,2,Arizona,3
1999,3,Arizona,1
1999,4,Arizona,8
1999,5,Arizona,0
1999,6,Arizona,2
1999,7,Arizona,2
1999,8,Arizona,0
1999,9,Arizona,0
1999,10,Arizona,0
1999,11,Arizona,0
1999,12,Arizona,1
2000,1,Arizona,1
2000,2,Arizona,1
2000,3,Arizona,1
2000,4,Arizona,6
2000,5,Arizona,0
2000,6,Arizona,1
2000,7,Arizona,0
2000,8,Arizona,0
2000,9,Arizona,2
2000,10,Arizona,0
2000,11,Arizona,1
2000,12,Arizona,1
2001,1,Arizona,2
2001,2,Arizona,1
2001,3,Arizona,1
2001,4,Arizona,1
2001,5,Arizona,2
2001,6,Arizona,2
2001,7,Arizona,3
2001,8,Arizona,1
2001,9,Arizona,0
2001,10,Arizona,1
2001,11,Arizona,1
2001,12,Arizona,1
2002,1,Arizona,0
2002,2,Arizona,0
2002,3,Arizona,0
2002,4,Arizona,2
2002,5,Arizona,5
2002,6,Arizona,8
2002,7,Arizona,2
2002,8,Arizona,1
2002,9,Arizona,1
2002,10,Arizona,2
2002,11,Arizona,2
2002,12,Arizona,2
2003,1,Arizona,1
2003,2,Arizona,1
2003,3,Arizona,2
2003,4,Arizona,1
2003,5,Arizona,1
2003,6,Arizona,1
2003,7,Arizona,2
2003,8,Arizona,1
2003,9,Arizona,1
2003,10,Arizona,0
2003,11,Arizona,0
2003,12,Arizona,1
2004,1,Arizona,1
2004,2,Arizona,0
2004,3,Arizona,1
2004,4,Arizona,1
2004,5,Arizona,1
2004,6,Arizona,2
2004,7,Arizona,0
2004,8,Arizona,1
2004,9,Arizona,1
2004,10,Arizona,1
2004,11,Arizona,2
2004,12,Arizona,3
2005,1,Arizona,2
2005,2,Arizona,1
2005,3,Arizona,4
2005,4,Arizona,1
2005,5,Arizona,0
2005,6,Arizona,2
2005,7,Arizona,0
2005,8,Arizona,3
2005,9,Arizona,0
2005,10,Arizona,1
2005,11,Arizona,0
2005,12,Arizona,1
2006,1,Arizona,1
2006,2,Arizona,0
2006,3,Arizona,1
2006,4,Arizona,1
2006,5,Arizona,1
2006,6,Arizona,1
2006,7,Arizona,0
2006,8,Arizona,0
2006,9,Arizona,1
2006,10,Arizona,0
2006,11,Arizona,2
2006,12,Arizona,1
2007,1,Arizona,0
2007,2,Arizona,2
2007,3,Arizona,3
2007,4,Arizona,1
2007,5,Arizona,1
2007,6,Arizona,3
2007,7,Arizona,0
2007,8,Arizona,0
2007,9,Arizona,1
2007,10,Arizona,1
2007,11,Arizona,0
2007,12,Arizona,2
2008,1,Arizona,3
2008,2,Arizona,0
2008,3,Arizona,0
2008,4,Arizona,0
2008,5,Arizona,3
2008,6,Arizona,0
2008,7,Arizona,0
2008,8,Arizona,0
2008,9,Arizona,1
2008,10,Arizona,0
2008,11,Arizona,2
2008,12,Arizona,2
2009,1,Arizona,0
2009,2,Arizona,0
2009,3,Arizona,1
2009,4,Arizona,0
2009,5,Arizona,1
2009,6,Arizona,1
2009,7,Arizona,0
2009,8,Arizona,1
2009,9,Arizona,2
2009,10,Arizona,0
2009,11,Arizona,1
2009,12,Arizona,0
2010,1,Arizona,1
2010,2,Arizona,0
2010,3,Arizona,1
2010,4,Arizona,2
2010,5,Arizona,0
2010,6,Arizona,1
2010,7,Arizona,1
2010,8,Arizona,1
2010,9,Arizona,0
2010,10,Arizona,1
2010,11,Arizona,2
2010,12,Arizona,2
2011,1,Arizona,0
2011,2,Arizona,2
2011,3,Arizona,2
2011,4,Arizona,1
2011,5,Arizona,2
2011,6,Arizona,0
2011,7,Arizona,0
2011,8,Arizona,0
2011,9,Arizona,0
2011,10,Arizona,0
2011,11,Arizona,0
2011,12,Arizona,0
2012,1,Arizona,1
2012,2,Arizona,0
2012,3,Arizona,1
2012,4,Arizona,0
2012,5,Arizona,0
2012,6,Arizona,1
2012,7,Arizona,0
2012,8,Arizona,0
2012,9,Arizona,0
2012,10,Arizona,0
2012,11,Arizona,0
2012,12,Arizona,2
2013,1,Arizona,0
2013,2,Arizona,0
2013,3,Arizona,3
2013,4,Arizona,0
2013,5,Arizona,2
2013,6,Arizona,1
2013,7,Arizona,0
2013,8,Arizona,0
2013,9,Arizona,0
2013,10,Arizona,0
2013,11,Arizona,0
2013,12,Arizona,1
2014,1,Arizona,0
2014,2,Arizona,1
2014,3,Arizona,2
2014,4,Arizona,0
2014,5,Arizona,0
2014,6,Arizona,0
2014,7,Arizona,2
2014,8,Arizona,1
2014,9,Arizona,0
2014,10,Arizona,0
2014,11,Arizona,2
2014,12,Arizona,0
2015,1,Arizona,0
2015,2,Arizona,0
2015,3,Arizona,1
2015,4,Arizona,0
2015,5,Arizona,0
2015,6,Arizona,0
2015,7,Arizona,0
2015,8,Arizona,1
2015,9,Arizona,0
2015,10,Arizona,1
2015,11,Arizona,0
2015,12,Arizona,0
2016,1,Arizona,1
2016,2,Arizona,1
2016,3,Arizona,0
2016,4,Arizona,0
2016,5,Arizona,1
2016,6,Arizona,1
2016,7,Arizona,0
2016,8,Arizona,0
2016,9,Arizona,3
2016,10,Arizona,0
2016,11,Arizona,1
2016,12,Arizona,0
2017,1,Arizona,1
2017,2,Arizona,0
2017,3,Arizona,0
2017,4,Arizona,3
2017,5,Arizona,0
2017,6,Arizona,2
2017,7,Arizona,0
2017,8,Arizona,0
2017,9,Arizona,0
2017,10,Arizona,1
2017,11,Arizona,1
2017,12,Arizona,1
2018,1,Arizona,0
2018,2,Arizona,0
2018,3,Arizona,0
2018,4,Arizona,1
2018,5,Arizona,2
2018,6,Arizona,1
2018,7,Arizona,3
2018,8,Arizona,0
2018,9,Arizona,0
2018,10,Arizona,0
2018,11,Arizona,1
2018,12,Arizona,3
2019,1,Arizona,3
2019,2,Arizona,1
2019,3,Arizona,1
2019,4,Arizona,1
2019,5,Arizona,0
2019,6,Arizona,2
2019,7,Arizona,1
2019,8,Arizona,0
2019,9,Arizona,0
2019,10,Arizona,1
2019,11,Arizona,0
2019,12,Arizona,3
2020,1,Arizona,0
2020,2,Arizona,0
2020,3,Arizona,0
2020,4,Arizona,0
2020,5,Arizona,1
2020,6,Arizona,0
2020,7,Arizona,2
2020,8,Arizona,1
2020,9,Arizona,0
2020,10,Arizona,0
2020,11,Arizona,2
2020,12,Arizona,0
1999,1,Arkansas,3
1999,2,Arkansas,2
1999,3,Arkansas,0
1999,4,Arkansas,1
1999,5,Arkansas,2
1999,6,Arkansas,2
1999,7,Arkansas,1
1999,8,Arkansas,2
1999,9,Arkansas,1
1999,10,Arkansas,4
1999,11,Arkansas,3
1999,12,Arkansas,3
2000,1,Arkansas,3
2000,2,Arkansas,1
2000,3,Arkansas,1
2000,4,Arkansas,0
2000,5,Arkansas,5
2000,6,Arkansas,1
2000,7,Arkansas,1
2000,8,Arkansas,2
2000,9,Arkansas,1
2000,10,Arkansas,2
2000,11,Arkansas,2
2000,12,Arkansas,0
2001,1,Arkansas,1
2001,2,Arkansas,3
2001,3,Arkansas,0
2001,4,Arkansas,0
2001,5,Arkansas,2
2001,6,Arkansas,1
2001,7,Arkansas,0
2001,8,Arkansas,2
2001,9,Arkansas,0
2001,10,Arkansas,1
2001,11,Arkansas,5
2001,12,Arkansas,4
2002,1,Arkansas,1
2002,2,Arkansas,1
2002,3,Arkansas,1
2002,4,Arkansas,2
2002,5,Arkansas,2
2002,6,Arkansas,1
2002,7,Arkansas,1
2002,8,Arkansas,1
2002,9,Arkansas,3
2002,10,Arkansas,4
2002,11,Arkansas,2
2002,12,Arkansas,3
2003,1,Arkansas,0
2003,2,Arkansas,0
2003,3,Arkansas,0
2003,4,Arkansas,2
2003,5,Arkansas,2
2003,6,Arkansas,0
2003,7,Arkansas,2
2003,8,Arkansas,0
2003,9,Arkansas,1
2003,10,Arkansas,2
2003,11,Arkansas,7
2003,12,Arkansas,2
2004,1,Arkansas,1
2004,2,Arkansas,1
2004,3,Arkansas,0
2004,4,Arkansas,2
2004,5,Arkansas,1
2004,6,Arkansas,2
2004,7,Arkansas,2
2004,8,Arkansas,3
2004,9,Arkansas,1
2004,10,Arkansas,1
2004,11,Arkansas,1
2004,12,Arkansas,1
2005,1,Arkansas,0
2005,2,Arkansas,0
2005,3,Arkansas,0
2005,4,Arkansas,1
2005,5,Arkansas,1
2005,6,Arkansas,1
2005,7,Arkansas,1
2005,8,Arkansas,1
2005,9,Arkansas,0
2005,10,Arkansas,1
2005,11,Arkansas,4
2005,12,Arkansas,4
2006,1,Arkansas,1
2006,2,Arkansas,1
2006,3,Arkansas,2
2006,4,Arkansas,1
2006,5,Arkansas,0
2006,6,Arkansas,1
2006,7,Arkansas,1
2006,8,Arkansas,1
2006,9,Arkansas,1
2006,10,Arkansas,2
2006,11,Arkansas,1
2006,12,Arkansas,0
2007,1,Arkansas,2
2007,2,Arkansas,1
2007,3,Arkansas,0
2007,4,Arkansas,3
2007,5,Arkansas,0
2007,6,Arkansas,1
2007,7,Arkansas,0
2007,8,Arkansas,3
2007,9,Arkansas,1
2007,10,Arkansas,4
2007,11,Arkansas,2
2007,12,Arkansas,4
2008,1,Arkansas,0
2008,2,Arkansas,6
2008,3,Arkansas,2
2008,4,Arkansas,0
2008,5,Arkansas,0
2008,6,Arkansas,3
2008,7,Arkansas,2
2008,8,Arkansas,1
2008,9,Arkansas,1
2008,10,Arkansas,0
2008,11,Arkansas,1
2008,12,Arkansas,1
2009,1,Arkansas,0
2009,2,Arkansas,4
2009,3,Arkansas,0
2009,4,Arkansas,1
2009,5,Arkansas,0
2009,6,Arkansas,1
2009,7,Arkansas,1
2009,8,Arkansas,1
2009,9,Arkansas,2
2009,10,Arkansas,1
2009,11,Arkansas,1
2009,12,Arkansas,2
2010,1,Arkansas,0
2010,2,Arkansas,1
2010,3,Arkansas,1
2010,4,Arkansas,2
2010,5,Arkansas,0
2010,6,Arkansas,3
2010,7,Arkansas,2
2010,8,Arkansas,1
2010,9,Arkansas,0
2010,10,Arkansas,2
2010,11,Arkansas,1
2010,12,Arkansas,1
2011,1,Arkansas,0
2011,2,Arkansas,0
2011,3,Arkansas,1
2011,4,Arkansas,1
2011,5,Arkansas,0
2011,6,Arkansas,1
2011,7,Arkansas,0
2011,8,Arkansas,2
2011,9,Arkansas,0
2011,10,Arkansas,2
2011,11,Arkansas,3
2011,12,Arkansas,1
2012,1,Arkansas,1
2012,2,Arkansas,0
2012,3,Arkansas,2
2012,4,Arkansas,0
2012,5,Arkansas,2
2012,6,Arkansas,1
2012,7,Arkansas,0
2012,8,Arkansas,1
2012,9,Arkansas,1
2012,10,Arkansas,0
2012,11,Arkansas,2
2012,12,Arkansas,0
2013,1,Arkansas,1
2013,2,Arkansas,0
2013,3,Arkansas,0
2013,4,Arkansas,1
2013,5,Arkansas,2
2013,6,Arkansas,0
2013,7,Arkansas,2
2013,8,Arkansas,0
2013,9,Arkansas,0
2013,10,Arkansas,3
2013,11,Arkansas,5
2013,12,Arkansas,1
2014,1,Arkansas,3
2014,2,Arkansas,1
2014,3,Arkansas,0
2014,4,Arkansas,1
2014,5,Arkansas,0
2014,6,Arkansas,0
2014,7,Arkansas,0
2014,8,Arkansas,0
2014,9,Arkansas,2
2014,10,Arkansas,0
2014,11,Arkansas,0
2014,12,Arkansas,0
2015,1,Arkansas,1
2015,2,Arkansas,0
2015,3,Arkansas,0
2015,4,Arkansas,0
2015,5,Arkansas,3
2015,6,Arkansas,0
2015,7,Arkansas,1
2015,8,Arkansas,0
2015,9,Arkansas,2
2015,10,Arkansas,2
2015,11,Arkansas,5
2015,12,Arkansas,3
2016,1,Arkansas,0
2016,2,Arkansas,0
2016,3,Arkansas,0
2016,4,Arkansas,0
2016,5,Arkansas,0
2016,6,Arkansas,1
2016,7,Arkansas,4
2016,8,Arkansas,0
2016,9,Arkansas,1
2016,10,Arkansas,3
2016,11,Arkansas,0
2016,12,Arkansas,2
2017,1,Arkansas,3
2017,2,Arkansas,1
2017,3,Arkansas,3
2017,4,Arkansas,1
2017,5,Arkansas,3
2017,6,Arkansas,3
2017,7,Arkansas,0
2017,8,Arkansas,0
2017,9,Arkansas,1
2017,10,Arkansas,0
2017,11,Arkansas,3
2017,12,Arkansas,1
2018,1,Arkansas,1
2018,2,Arkansas,1
2018,3,Arkansas,0
2018,4,Arkansas,2
2018,5,Arkansas,1
2018,6,Arkansas,2
2018,7,Arkansas,1
2018,8,Arkansas,0
2018,9,Arkansas,1
2018,10,Arkansas,1
2018,11,Arkansas,2
2018,12,Arkansas,1
2019,1,Arkansas,1
2019,2,Arkansas,0
2019,3,Arkansas,3
2019,4,Arkansas,0
2019,5,Arkansas,1
2019,6,Arkansas,2
2019,7,Arkansas,1
2019,8,Arkansas,1
2019,9,Arkansas,0
2019,10,Arkansas,1
2019,11,Arkansas,4
2019,12,Arkansas,0
2020,1,Arkansas,0
2020,2,Arkansas,0
2020,3,Arkansas,2
2020,4,Arkansas,2
2020,5,Arkansas,0
2020,6,Arkansas,1
2020,7,Arkansas,0
2020,8,Arkansas,0
2020,9,Arkansas,0
2020,10,Arkansas,1
2020,11,Arkansas,0
2020,12,Arkansas,2
1999,1,California,4
1999,2,California,6
1999,3,California,4
1999,4,California,5
1999,5,California,6
1999,6,California,0
1999,7,California,6
1999,8,California,1
1999,9,California,3
1999,10,California,6
1999,11,California,1
1999,12,California,5
2000,1,California,0
2000,2,California,1
2000,3,California,4
2000,4,California,7
2000,5,California,3
2000,6,California,5
2000,7,California,6
2000,8,California,12
2000,9,California,5
2000,10,California,6
2000,11,California,9
2000,12,California,8
2001,1,California,9
2001,2,California,5
2001,3,California,7
2001,4,California,10
2001,5,California,14
2001,6,California,10
2001,7,California,5
2001,8,California,5
2001,9,California,9
2001,10,California,8
2001,11,California,7
2001,12,California,8
2002,1,California,1
2002,2,California,4
2002,3,California,2
2002,4,California,1
2002,5,California,4
2002,6,California,4
2002,7,California,4
2002,8,California,6
2002,9,California,4
2002,10,California,6
2002,11,California,2
2002,12,California,6
2003,1,California,7
2003,2,California,4
2003,3,California,6
2003,4,California,4
2003,5,California,5
2003,6,California,6
2003,7,California,4
2003,8,California,6
2003,9,California,8
2003,10,California,4
2003,11,California,5
2003,12,California,9
2004,1,California,4
2004,2,California,4
2004,3,California,6
2004,4,California,2
2004,5,California,3
2004,6,California,3
2004,7,California,8
2004,8,California,4
2004,9,California,3
2004,10,California,2
2004,11,California,7
2004,12,California,4
2005,1,California,13
2005,2,California,11
2005,3,California,8
2005,4,California,11
2005,5,California,15
2005,6,California,16
2005,7,California,14
2005,8,California,14
2005,9,California,12
2005,10,California,9
2005,11,California,7
2005,12,California,16
2006,1,California,3
2006,2,California,3
2006,3,California,6
2006,4,California,5
2006,5,California,4
2006,6,California,4
2006,7,California,2
2006,8,California,10
2006,9,California,9
2006,10,California,10
2006,11,California,8
2006,12,California,4
2007,1,California,4
2007,2,California,3
2007,3,California,3
2007,4,California,1
2007,5,California,4
2007,6,California,7
2007,7,California,5
2007,8,California,7
2007,9,California,1
2007,10,California,5
2007,11,California,1
2007,12,California,2
2008,1,California,3
2008,2,California,2
2008,3,California,5
2008,4,California,5
2008,5,California,1
2008,6,California,3
2008,7,California,7
